iter	Passed	Remaining
0	148	148258
1	161	80833
2	174	57929
3	187	46613
4	198	39429
5	211	35007
6	222	31530
7	235	29213
8	246	27134
9	259	25720
10	273	24622
11	285	23534
12	298	22693
13	309	21829
14	323	21213
15	334	20568
16	348	20168
17	360	19649
18	374	19319
19	384	18863
20	400	18667
21	423	18806
22	435	18488
23	449	18264
24	462	18029
25	474	17768
26	485	17507
27	499	17355
28	516	17287
29	535	17300
30	558	17466
31	576	17439
32	594	17409
33	608	17281
34	620	17113
35	634	16991
36	645	16792
37	656	16609
38	666	16418
39	677	16259
40	687	16074
41	697	15907
42	707	15746
43	717	15583
44	728	15456
45	738	15308
46	747	15161
47	758	15034
48	769	14927
49	779	14811
50	792	14747
51	802	14637
52	817	14609
53	828	14512
54	838	14407
55	849	14312
56	859	14220
57	871	14159
58	886	14141
59	902	14143
60	918	14140
61	931	14086
62	943	14026
63	956	13985
64	968	13926
65	984	13925
66	997	13889
67	1010	13851
68	1032	13927
69	1067	14179
70	1107	14485
71	1135	14637
72	1157	14696
73	1180	14766
74	1202	14835
75	1224	14883
76	1245	14924
77	1263	14930
78	1295	15100
79	1311	15086
80	1329	15079
81	1346	15072
82	1361	15043
83	1377	15025
84	1394	15006
85	1410	14990
86	1424	14954
87	1440	14927
88	1453	14880
89	1464	14812
90	1476	14749
91	1488	14687
92	1500	14634
93	1511	14572
94	1522	14502
95	1533	14441
96	1544	14376
97	1554	14308
98	1566	14253
99	1576	14189
100	1588	14138
101	1599	14082
102	1609	14019
103	1619	13955
104	1631	13902
105	1641	13846
106	1651	13787
107	1662	13734
108	1673	13679
109	1684	13625
110	1696	13585
111	1706	13530
112	1723	13524
113	1732	13467
114	1743	13414
115	1754	13369
116	1764	13319
117	1775	13269
118	1786	13229
119	1797	13184
120	1808	13138
121	1821	13109
122	1832	13066
123	1843	13026
124	1855	12987
125	1867	12952
126	1878	12914
127	1889	12871
128	1901	12840
129	1912	12799
130	1922	12754
131	1934	12719
132	1944	12677
133	1955	12636
134	1968	12615
135	1980	12580
136	1993	12557
137	2005	12526
138	2017	12495
139	2027	12457
140	2038	12417
141	2051	12393
142	2063	12365
143	2074	12332
144	2084	12293
145	2099	12280
146	2114	12272
147	2126	12240
148	2136	12204
149	2148	12174
150	2159	12140
151	2169	12103
152	2183	12086
153	2194	12053
154	2206	12029
155	2217	11996
156	2228	11964
157	2238	11929
158	2249	11897
159	2259	11861
160	2270	11834
161	2283	11810
162	2296	11791
163	2308	11767
164	2322	11753
165	2337	11742
166	2348	11715
167	2362	11698
168	2374	11674
169	2385	11648
170	2398	11629
171	2413	11618
172	2426	11601
173	2439	11579
174	2452	11560
175	2464	11538
176	2476	11514
177	2488	11493
178	2504	11487
179	2521	11486
180	2533	11462
181	2547	11449
182	2559	11425
183	2569	11395
184	2582	11375
185	2595	11356
186	2606	11333
187	2619	11314
188	2632	11296
189	2644	11273
190	2658	11259
191	2668	11230
192	2680	11210
193	2691	11184
194	2702	11154
195	2714	11134
196	2726	11112
197	2736	11084
198	2747	11059
199	2757	11031
200	2768	11005
201	2780	10983
202	2790	10955
203	2801	10932
204	2814	10914
205	2826	10892
206	2837	10871
207	2848	10846
208	2859	10822
209	2873	10810
210	2887	10796
211	2898	10774
212	2918	10782
213	2930	10763
214	2942	10744
215	2954	10724
216	2967	10707
217	2980	10690
218	2993	10673
219	3005	10655
220	3018	10639
221	3031	10624
222	3042	10602
223	3053	10578
224	3066	10562
225	3078	10542
226	3088	10517
227	3100	10498
228	3110	10473
229	3124	10460
230	3136	10440
231	3146	10416
232	3158	10395
233	3168	10373
234	3179	10348
235	3190	10328
236	3202	10310
237	3213	10289
238	3227	10277
239	3240	10261
240	3251	10239
241	3261	10215
242	3275	10203
243	3285	10181
244	3300	10169
245	3316	10164
246	3327	10145
247	3340	10128
248	3350	10105
249	3362	10087
250	3372	10065
251	3383	10042
252	3394	10021
253	3404	9999
254	3414	9977
255	3425	9954
256	3438	9939
257	3450	9922
258	3461	9902
259	3474	9889
260	3489	9880
261	3504	9872
262	3520	9866
263	3536	9857
264	3550	9846
265	3563	9834
266	3579	9826
267	3593	9816
268	3608	9804
269	3627	9808
270	3657	9838
271	3686	9866
272	3711	9884
273	3743	9919
274	3793	10001
275	3826	10037
276	3861	10078
277	3902	10136
278	3928	10152
279	3959	10182
280	3990	10209
281	4015	10224
282	4053	10269
283	4088	10308
284	4121	10340
285	4161	10389
286	4198	10429
287	4236	10473
288	4264	10491
289	4290	10505
290	4316	10517
291	4343	10530
292	4373	10553
293	4399	10564
294	4427	10581
295	4453	10592
296	4480	10605
297	4511	10627
298	4538	10640
299	4565	10652
300	4596	10674
301	4627	10695
